MAIN             main | Línea: 1   | Columna: 1  
LBRACE           { | Línea: 1   | Columna: 5  
INT              int | Línea: 3   | Columna: 5  
ID               a | Línea: 3   | Columna: 9  
COMA             , | Línea: 3   | Columna: 10 
ID               b | Línea: 3   | Columna: 12 
COMA             , | Línea: 3   | Columna: 13 
ID               c | Línea: 3   | Columna: 15 
PUNCOM           ; | Línea: 3   | Columna: 16 
FLOAT            float | Línea: 4   | Columna: 5  
ID               x | Línea: 4   | Columna: 11 
COMA             , | Línea: 4   | Columna: 12 
ID               y | Línea: 4   | Columna: 14 
PUNCOM           ; | Línea: 4   | Columna: 15 
BOOL             bool | Línea: 5   | Columna: 5  
ID               flag | Línea: 5   | Columna: 10 
COMA             , | Línea: 5   | Columna: 14 
ID               activo | Línea: 5   | Columna: 16 
PUNCOM           ; | Línea: 5   | Columna: 22 
CIN              cin | Línea: 7   | Columna: 5  
SHR              >> | Línea: 7   | Columna: 8  
ID               a | Línea: 7   | Columna: 12 
PUNCOM           ; | Línea: 7   | Columna: 13 
CIN              cin | Línea: 8   | Columna: 5  
SHR              >> | Línea: 8   | Columna: 8  
ID               b | Línea: 8   | Columna: 12 
PUNCOM           ; | Línea: 8   | Columna: 13 
CIN              cin | Línea: 9   | Columna: 5  
SHR              >> | Línea: 9   | Columna: 8  
ID               x | Línea: 9   | Columna: 12 
PUNCOM           ; | Línea: 9   | Columna: 13 
ID               a | Línea: 10  | Columna: 5  
ASSIGN           = | Línea: 10  | Columna: 6  
PUNCOM           ; | Línea: 10  | Columna: 8  
ID               a | Línea: 12  | Columna: 5  
ASSIGN           = | Línea: 12  | Columna: 6  
ID               b | Línea: 12  | Columna: 9  
MAS              + | Línea: 12  | Columna: 10 
ID               c | Línea: 12  | Columna: 13 
PUNCOM           ; | Línea: 12  | Columna: 14 
ID               a | Línea: 14  | Columna: 5  
ASSIGN           = | Línea: 14  | Columna: 6  
ID               b | Línea: 14  | Columna: 9  
MENOS            - | Línea: 14  | Columna: 10 
ID               c | Línea: 14  | Columna: 13 
PUNCOM           ; | Línea: 14  | Columna: 14 
ID               a | Línea: 16  | Columna: 5  
ASSIGN           = | Línea: 16  | Columna: 6  
ID               b | Línea: 16  | Columna: 9  
MUL              * | Línea: 16  | Columna: 10 
