MAIN             main | Línea: 1   | Columna: 1  
LBRACE           { | Línea: 1   | Columna: 5  
INT              int | Línea: 7   | Columna: 5  
ID               x | Línea: 7   | Columna: 9  
COMA             , | Línea: 7   | Columna: 10 
ID               y | Línea: 7   | Columna: 12 
COMA             , | Línea: 7   | Columna: 13 
ID               z | Línea: 7   | Columna: 15 
PUNCOM           ; | Línea: 7   | Columna: 16 
FLOAT            float | Línea: 8   | Columna: 5  
ID               a | Línea: 8   | Columna: 11 
COMA             , | Línea: 8   | Columna: 12 
ID               b | Línea: 8   | Columna: 14 
COMA             , | Línea: 8   | Columna: 15 
ID               c | Línea: 8   | Columna: 17 
ID               suma | Línea: 12  | Columna: 5  
ASSIGN           = | Línea: 12  | Columna: 9  
NUM_INT          45 | Línea: 12  | Columna: 12 
PUNCOM           ; | Línea: 12  | Columna: 14 
ID               x | Línea: 14  | Columna: 5  
ASSIGN           = | Línea: 14  | Columna: 6  
NUM_INT          32 | Línea: 14  | Columna: 9  
PUNCOM           ; | Línea: 14  | Columna: 11 
ID               x | Línea: 15  | Columna: 5  
ASSIGN           = | Línea: 15  | Columna: 6  
NUM_INT          23 | Línea: 15  | Columna: 9  
PUNCOM           ; | Línea: 15  | Columna: 11 
ID               y | Línea: 16  | Columna: 5  
ASSIGN           = | Línea: 16  | Columna: 6  
NUM_INT          2 | Línea: 16  | Columna: 9  
MAS              + | Línea: 16  | Columna: 10 
NUM_INT          3 | Línea: 16  | Columna: 13 
MENOS            - | Línea: 16  | Columna: 14 
NUM_INT          1 | Línea: 16  | Columna: 17 
PUNCOM           ; | Línea: 16  | Columna: 18 
ID               z | Línea: 17  | Columna: 5  
ASSIGN           = | Línea: 17  | Columna: 6  
ID               y | Línea: 17  | Columna: 9  
MAS              + | Línea: 17  | Columna: 10 
NUM_INT          7 | Línea: 17  | Columna: 13 
PUNCOM           ; | Línea: 17  | Columna: 14 
ID               y | Línea: 18  | Columna: 5  
ASSIGN           = | Línea: 18  | Columna: 6  
ID               y | Línea: 18  | Columna: 9  
MAS              + | Línea: 18  | Columna: 10 
NUM_INT          1 | Línea: 18  | Columna: 13 
